episode,reward
157,-2786.0
158,-2693.0
159,-2716.0
160,-2714.0
161,-2521.0
162,-2627.0
163,-2554.0
164,-2524.0
165,-2622.0
166,-2633.0
167,-2602.0
168,-2773.0
169,-2451.0
170,-2728.0
171,-2654.0
172,-2656.0
173,-2613.0
174,-2492.0
175,-2541.0
176,-2410.0
177,-2586.0
178,-2629.0
179,-2462.0
180,-2581.0
181,-2484.0
182,-2410.0
183,-2547.0
184,-2488.0
185,-2417.0
186,-2349.0
187,-2474.0
188,-2456.0
189,-2415.0
190,-2504.0
191,-2596.0
192,-2281.0
193,-2401.0
194,-2411.0
195,-2560.0
196,-2449.0
197,-2444.0
198,-2281.0
199,-2377.0
200,-2382.0
201,-2479.0
202,-2424.0
203,-2412.0
204,-2355.0
205,-2406.0
206,-2394.0
207,-2616.0
208,-2257.0
209,-2287.0
210,-2339.0
211,-2316.0
212,-2403.0
213,-2284.0
214,-2293.0
215,-2323.0
216,-2427.0
217,-2380.0
218,-2454.0
219,-2399.0
220,-2501.0
221,-2327.0
222,-2390.0
223,-2280.0
224,-2352.0
225,-2357.0
226,-2322.0
227,-2398.0
228,-2568.0
229,-2426.0
230,-2539.0
231,-2359.0
232,-2250.0
233,-2318.0
234,-2186.0
235,-2413.0
236,-2473.0
237,-2327.0
238,-2339.0
239,-2515.0
240,-2261.0
241,-2308.0
242,-2502.0
243,-2258.0
244,-2466.0
245,-2345.0
246,-2257.0
247,-2282.0
248,-2511.0
249,-2397.0
250,-2210.0
251,-2277.0
252,-2415.0
253,-2451.0
254,-2266.0
255,-2300.0
256,-2366.0
257,-2320.0
258,-2228.0
259,-2323.0
260,-2379.0
261,-2429.0
262,-2206.0
263,-2302.0
264,-2271.0
265,-2299.0
266,-2154.0
267,-2415.0
268,-2364.0
269,-2142.0
270,-2225.0
271,-2362.0
272,-2142.0
273,-2188.0
274,-2113.0
275,-2163.0
276,-2181.0
277,-2211.0
278,-2243.0
279,-2104.0
280,-2185.0
281,-2092.0
282,-2159.0
283,-2080.0
284,-2106.0
285,-2269.0
286,-2248.0
287,-2102.0
288,-2129.0
289,-2068.0
290,-2104.0
291,-2108.0
292,-1925.0
293,-2159.0
294,-1966.0
295,-2087.0
296,-2042.0
297,-2078.0
298,-1980.0
299,-2152.0
300,-2180.0
301,-2035.0
302,-1957.0
303,-2219.0
304,-2029.0
305,-1971.0
306,-2156.0
307,-2158.0
308,-2101.0
309,-1969.0
310,-2059.0
311,-2068.0
312,-2168.0
313,-2028.0
314,-2014.0
315,-2078.0
316,-2090.0
317,-2077.0
318,-2069.0
319,-1942.0
320,-1973.0
321,-1967.0
322,-1999.0
323,-1873.0
324,-2069.0
325,-2058.0
326,-1993.0
327,-2098.0
328,-2123.0
329,-2099.0
330,-1947.0
331,-1990.0
332,-2028.0
333,-1978.0
334,-2067.0
335,-2100.0
336,-1958.0
337,-2121.0
338,-1972.0
339,-2060.0
340,-1900.0
341,-1863.0
342,-2040.0
343,-1913.0
344,-2030.0
345,-2012.0
346,-2030.0
347,-1982.0
348,-2070.0
349,-2150.0
350,-1904.0
351,-1941.0
352,-1938.0
353,-2029.0
354,-1946.0
355,-2120.0
356,-1927.0
357,-1876.0
358,-1970.0
359,-1790.0
360,-2130.0
361,-2147.0
362,-1953.0
363,-1994.0
364,-1897.0
365,-1995.0
366,-1976.0
367,-2125.0
368,-1761.0
369,-2011.0
370,-1907.0
371,-1915.0
372,-2035.0
373,-1932.0
374,-1972.0
375,-1997.0
376,-1884.0
377,-1905.0
378,-1924.0
379,-1778.0
380,-1941.0
381,-1907.0
382,-1975.0
383,-2056.0
384,-1857.0
385,-1884.0
386,-1917.0
387,-1907.0
388,-1923.0
389,-1991.0
390,-1930.0
391,-2078.0
392,-1814.0
393,-1844.0
394,-1920.0
395,-1811.0
396,-1776.0
397,-2031.0
398,-1904.0
399,-1853.0
